"Taxa","Condition","dataset","n","intercept","slope","slope_lo","slope_hi","lm_p","lm_R2","spear_rho","spear_p","lm_sig","spear_sig"
"Symbiochloris irregularis","Free-living","filtered",185,46.2924293918458,1.65639455832315,1.02857378762539,2.28421532902092,5.16616511784196e-07,0.128972320330776,0.364684036183296,3.33464780912647e-07,"***","***"
"Symbiochloris reticulata","Lichen-forming","filtered",185,47.6351141220524,1.46863638043695,0.790620042171416,2.14665271870248,3.08883247271856e-05,0.0907487171680046,0.326001822335156,5.9437448564973e-06,"***","***"
"Coccomyxa subellipsoidea","Free-living","filtered",185,46.1821369762076,1.80605741056632,1.18139039157934,2.4307244295533,4.62068722666112e-08,0.150971964652115,0.44279995204885,2.76786899024817e-10,"***","***"
"Coccomyxa viridis","Lichen-forming","filtered",185,45.7745266603195,2.23261499224269,1.50916680079294,2.95606318369244,6.5336272427407e-09,0.168462412025512,0.426140226934313,1.46937918908098e-09,"***","***"
"Myrmecia bisecta","Free-living","filtered",185,43.9504293216324,1.72576551424812,1.04941910188583,2.40211192661041,1.14213106207685e-06,0.121647296069436,0.368585345513817,2.99665439397488e-07,"***","***"
"Asterochloris erici","Lichen-forming","filtered",185,45.0827013245129,1.24084760384114,0.667769223884455,1.81392598379783,3.10993351632995e-05,0.0906842534016584,0.274208710814601,0.000167763049452028,"***","***"
"Trebouxia sp.C0010","Lichen-forming","filtered",185,48.5570593701669,0.960519599087143,0.378205084515959,1.54283411365833,0.0013533158303289,0.0547104651739488,0.211798364257617,0.00380185619951793,"**","**"
"Symbiochloris irregularis","Free-living","permissive",495,47.430267213092,1.05537501828706,0.768974972526467,1.34177506404766,1.73196993655512e-12,0.0961097447699805,0.315685204998642,6.45653495572461e-13,"***","***"
"Symbiochloris reticulata","Lichen-forming","permissive",458,48.9568332590873,0.635129611657533,0.34065581620147,0.929603407113597,2.72409353684183e-05,0.0379043845773597,0.191657495887281,3.64696998072253e-05,"***","***"
"Coccomyxa subellipsoidea","Free-living","permissive",538,47.320460915528,1.42233858773234,1.11729135471616,1.72738582074853,1.10028179065318e-18,0.135336209363848,0.395509741533324,1.36928007922614e-21,"***","***"
"Coccomyxa viridis","Lichen-forming","permissive",557,47.0609281836887,1.37570582931192,1.10985084703143,1.6415608115924,2.25938936028441e-22,0.15693568303804,0.41517490515116,1.28003900002542e-24,"***","***"
"Myrmecia bisecta","Free-living","permissive",447,45.4000740284084,1.16438991580057,0.771610733415846,1.5571690981853,1.08924830331317e-08,0.0708723906308739,0.274473339115847,3.62478337055892e-09,"***","***"
"Asterochloris erici","Lichen-forming","permissive",459,45.7112632583939,1.10313201576619,0.805070268768408,1.40119376276397,1.53741506792493e-12,0.103742921961208,0.326428613331928,7.40083936278845e-13,"***","***"
"Trebouxia sp.C0010","Lichen-forming","permissive",378,49.5097258128408,0.6356183816538,0.294460236752696,0.976776526554903,0.000284565855403072,0.0344634575302609,0.16922041811,0.000956645221213425,"***","***"
"Symbiochloris irregularis","Free-living","unfiltered",948,49.2315427468911,0.0116464197540395,0.00666656418156434,0.0166262753265147,5.03792464156826e-06,0.0217823106701961,0.253426974612569,2.33147085525728e-15,"***","***"
"Symbiochloris reticulata","Lichen-forming","unfiltered",948,50.2680384529335,0.00571679651982725,0.00116022733893375,0.0102733657007208,0.0139871013214988,0.00636754982237576,0.200608103500268,4.60656772525622e-10,"*","***"
"Coccomyxa subellipsoidea","Free-living","unfiltered",948,49.7898054885518,0.0165673400099357,0.010417221659278,0.0227174583605934,1.5480834262788e-07,0.0286953255516248,0.360825942070136,1.58506436725849e-30,"***","***"
"Coccomyxa viridis","Lichen-forming","unfiltered",948,49.3096467133295,0.0103396057635785,0.00438724679145365,0.0162919647357033,0.000679698348758117,0.0121351270320021,0.305675490665447,5.93495089306526e-22,"***","***"
"Myrmecia bisecta","Free-living","unfiltered",948,47.7716171922354,0.018139190051091,0.0119057259401193,0.0243726541620627,1.50555019557682e-08,0.0333253143413473,0.301571776735927,2.20317428337671e-21,"***","***"
"Asterochloris erici","Lichen-forming","unfiltered",948,47.8378403588866,0.0114498030865574,0.00684154752670425,0.0160580586464105,1.26920497509891e-06,0.0245165790340998,0.287739051167487,1.57339159503262e-19,"***","***"
"Trebouxia sp.C0010","Lichen-forming","unfiltered",948,51.0250156407088,0.00261942616834286,-0.00149883350077967,0.00673768583746539,0.212253673806014,0.00164432331660908,0.110608156250719,0.000645919437977696,"ns","***"
