"contrast","TaxonPair","estimate","SE","df","z.ratio","p.value","Metric"
"(Lichen-forming) - (Free-living)","Coccomyxa",-0.597442210120368,0.0749500180242575,Inf,-7.97120835817553,1.57130330967834e-15,"ENC_prime"
"(Lichen-forming) - (Free-living)","Symbiochloris",0.940018923428511,0.0749500180242575,Inf,12.5419439275421,4.40066406258449e-36,"ENC_prime"
"(Lichen-forming) - (Free-living)","Trebouxia_vs_Myrmecia",2.95675723648179,0.0749500180242575,Inf,39.4497201525,0,"ENC_prime"
"(Lichen-forming) - (Free-living)","Asterochloris_vs_Myrmecia",-0.0712033645318303,0.0749500180242575,Inf,-0.950011306318638,0.342106507702526,"ENC_prime"
"(Lichen-forming) - (Free-living)","Coccomyxa",-0.0193655390623615,0.00193588910479388,Inf,-10.0034340884538,1.47201996402377e-23,"GC3"
"(Lichen-forming) - (Free-living)","Symbiochloris",-0.0404800873998164,0.00193588910479388,Inf,-20.9103338097078,4.312056956779e-97,"GC3"
"(Lichen-forming) - (Free-living)","Trebouxia_vs_Myrmecia",-0.192382627044553,0.00193588910479388,Inf,-99.3768840209656,0,"GC3"
"(Lichen-forming) - (Free-living)","Asterochloris_vs_Myrmecia",-0.0499086664851164,0.00193588910479388,Inf,-25.7807466148379,1.45798787378608e-146,"GC3"
"(Lichen-forming) - (Free-living)","Coccomyxa",-0.00810070548411817,0.000833289495782905,Inf,-9.72135797356628,2.44498696893032e-22,"GC12"
"(Lichen-forming) - (Free-living)","Symbiochloris",0.00155171255516663,0.000833289495782905,Inf,1.86215302487251,0.0625815236574797,"GC12"
"(Lichen-forming) - (Free-living)","Trebouxia_vs_Myrmecia",-0.0233433920638136,0.000833289495782905,Inf,-28.0135441307606,1.11133156465083e-172,"GC12"
"(Lichen-forming) - (Free-living)","Asterochloris_vs_Myrmecia",-0.00230400815787865,0.000833289495782905,Inf,-2.7649552400921,0.00569306069835277,"GC12"
