"Metric","TaxonPair","n_pairs","median_lichen","median_free","median_diff","HL_estimate","W","p_value","p_adj_bonf","Direction","Significance"
"dN","Asterochloris_vs_Myrmecia",185,0.0787,0.0652,0.0096,0.0124761340890554,12827.5,6.94197785141867e-09,2.77679114056747e-08,"Higher in lichen","***"
"dN","Coccomyxa",185,0.048,0.0417,0.0088,0.00955404415986681,13672.5,9.65224362710765e-13,3.86089745084306e-12,"Higher in lichen","***"
"dN","Symbiochloris",185,0.0469,0.052,-0.0046,-0.00475759962863991,6001,0.000362055353951368,0.00144822141580547,"Lower in lichen","**"
"dN","Trebouxia_vs_Myrmecia",185,0.0716,0.0652,0.006,0.00643254694673336,10760,0.00110192579170254,0.00440770316681016,"Higher in lichen","**"
"dS","Asterochloris_vs_Myrmecia",185,1.1881,1.2448,-0.0546,-0.0450729328243639,7602,0.170336701136245,0.681346804544982,"Lower in lichen","ns"
"dS","Coccomyxa",185,0.9137,1.0074,-0.1064,-0.103539241919643,6225,0.00111742980946481,0.00446971923785925,"Lower in lichen","**"
"dS","Symbiochloris",185,1.2548,1.0037,0.2144,0.194814631682973,12197,8.31542591204098e-07,3.32617036481639e-06,"Higher in lichen","***"
"dS","Trebouxia_vs_Myrmecia",185,1.701,1.2448,0.4686,0.439096651071819,14242,1.06068890626991e-14,4.24275562507963e-14,"Higher in lichen","***"
"omega","Asterochloris_vs_Myrmecia",185,0.0627,0.0522,0.0141,0.0133002360279573,13394.5,5.03982452512093e-11,2.01592981004837e-10,"Higher in lichen","***"
"omega","Coccomyxa",185,0.0503,0.0378,0.0112,0.0128923963326259,13620,4.20404533324785e-13,1.68161813329914e-12,"Higher in lichen","***"
"omega","Symbiochloris",185,0.0379,0.0479,-0.0102,-0.010932511945268,4200,2.569492210879e-09,1.0277968843516e-08,"Lower in lichen","***"
"omega","Trebouxia_vs_Myrmecia",185,0.0413,0.0522,-0.0056,-0.00803272875880814,5329,2.54242886492639e-05,0.000101697154597056,"Lower in lichen","***"
"ENC_prime","Coccomyxa",951,49.6679291969637,50.3322946142036,-0.648393940405846,-0.61466086437227,149849,1.75433603420104e-19,7.01734413680417e-19,"Lower in lichen","***"
"ENC_prime","Symbiochloris",951,50.4764826954189,49.655092023306,0.976129348830412,0.960235894631462,336351,1.5014730827538e-38,6.0058923310152e-38,"Higher in lichen","***"
"ENC_prime","Trebouxia_vs_Myrmecia",951,51.362655219984,48.3013153378812,3.01184289158364,2.97691338118116,424827,2.27957924289347e-121,9.11831697157389e-121,"Higher in lichen","***"
"ENC_prime","Asterochloris_vs_Myrmecia",951,48.1131923086696,48.3013153378812,-0.0561405772394465,-0.0466229357485345,221440,0.563242463713381,1,"Lower in lichen","ns"
"GC3","Coccomyxa",951,0.727272727272727,0.753020134228188,-0.0204081632653061,-0.0197382635009655,136467,6.41537974076124e-26,2.5661518963045e-25,"Lower in lichen","***"
"GC3","Symbiochloris",951,0.659203980099503,0.701388888888889,-0.039234884554344,-0.0406425210996107,65014,7.89845909571223e-81,3.15938363828489e-80,"Lower in lichen","***"
"GC3","Trebouxia_vs_Myrmecia",951,0.597539543057997,0.793190416141236,-0.19350311091434,-0.192712457584961,1,3.27339493809301e-157,1.3093579752372e-156,"Lower in lichen","***"
"GC3","Asterochloris_vs_Myrmecia",951,0.740983606557377,0.793190416141236,-0.0494486853265479,-0.0501610114237525,50097,4.24304137965123e-96,1.69721655186049e-95,"Lower in lichen","***"
"GC12","Coccomyxa",951,0.526875,0.533613445378151,-0.00699300699300698,-0.00777920995866501,126837,2.88690507517567e-31,1.15476203007027e-30,"Lower in lichen","***"
"GC12","Symbiochloris",951,0.538610038610039,0.537454873646209,0.00180288461538458,0.00173107944727376,249260,0.00262078736492628,0.0104831494597051,"Higher in lichen","*"
"GC12","Trebouxia_vs_Myrmecia",951,0.51219512195122,0.534076827757125,-0.0225516480050466,-0.0234377781155057,40987,7.04528981291636e-106,2.81811592516655e-105,"Lower in lichen","***"
"GC12","Asterochloris_vs_Myrmecia",951,0.532345013477089,0.534076827757125,-0.00170432411375143,-0.00200858918371937,204047.5,0.0115180267359468,0.0460721069437873,"Lower in lichen","*"
